radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,649,1,115,14042,0,17.0765,-22.518,2205,9,1,1456840991,1736577696,0
GSM,649,1,115,13832,0,17.0809,-22.5259,3801,24,1,1458825828,1720070718,0
GSM,649,1,115,10601,0,17.0678,-22.5296,1585,23,1,1458825828,1736577662,0
GSM,649,1,113,18961,0,17.0874,-22.5792,1000,3,1,1442733425,1726548409,0
GSM,649,1,102,12092,0,17.3448,-19.657,6911,6,1,1458825819,1693745387,0
GSM,649,1,103,20751,0,16.8948,-21.9638,2450,5,1,1443794978,1720070567,0
GSM,649,1,103,20753,0,16.8797,-21.9671,5007,6,1,1458825821,1720070567,0
GSM,649,1,103,19591,0,16.8985,-21.9661,1000,5,1,1458825821,1720070570,0
GSM,649,1,106,12220,0,20.6041,-18.0279,14135,9,1,1458825822,1690262649,0
GSM,649,1,106,13543,0,19.1166,-18.5952,4935,2,1,1431447152,1691804394,0
GSM,649,1,106,16733,0,19.7229,-17.9204,9507,5,1,1458825822,1691800648,0
GSM,649,1,106,13582,0,21.3205,-18.022,7863,6,1,1458825822,1690258280,0
GSM,649,1,106,13562,0,20.0693,-17.9384,5644,2,1,1444811577,1690264443,0
GSM,649,1,106,13552,0,19.4931,-18.1851,5260,3,1,1432000056,1691802421,0
GSM,649,1,106,16731,0,19.7568,-17.9374,2559,6,1,1458825822,1691800648,0
GSM,649,1,106,16500,0,20.4881,-17.9881,13304,9,1,1458825822,1691728903,0
GSM,649,1,108,13472,0,16.0153,-17.9303,1009,5,1,1458825823,1725601431,0
GSM,649,1,108,19721,0,15.9949,-17.9186,1000,5,1,1458825824,1735108146,0
GSM,649,1,108,12511,0,15.9956,-17.9192,1000,7,1,1458825823,1735108143,0
GSM,649,1,108,12582,0,16.0627,-17.9517,5106,7,1,1458825823,1735108149,0
GSM,649,1,108,12161,0,15.9988,-17.9079,5809,4,1,1458825823,1716611950,0
GSM,649,1,108,12761,0,15.9807,-17.8831,6208,9,1,1458825823,1727065927,0
GSM,649,1,108,13723,0,15.8867,-17.4171,1127,7,1,1437400582,1725601456,0
GSM,649,1,108,13471,0,15.9922,-17.9101,6677,7,1,1458825823,1735108146,0
GSM,649,1,108,19152,0,16.0791,-17.9416,4720,5,1,1458825824,1735108149,0
GSM,649,1,108,19631,0,15.89,-17.382,3094,19,1,1433568598,1734763753,0
GSM,649,1,107,16573,0,16.5721,-18.353,4403,7,1,1458825823,1735108161,0
GSM,649,1,108,12781,0,16.0415,-17.942,4461,5,1,1458825823,1725601431,0
GSM,649,1,108,12162,0,16.0389,-17.9414,12017,6,1,1458825823,1725601431,0
GSM,649,1,108,19931,0,15.947,-17.869,3331,3,1,1458825824,1727065927,0
GSM,649,1,108,20541,0,15.975,-17.8863,2765,4,1,1458825824,1735108143,0
GSM,649,1,112,12011,0,18.0818,-19.5402,6871,8,1,1458825825,1735108207,0
GSM,649,1,112,12013,0,18.0515,-19.575,11786,11,1,1443795030,1735108207,0
GSM,649,1,112,15350,0,17.5461,-19.1692,5444,9,1,1458825826,1735108199,0
GSM,649,1,112,12820,0,17.2262,-18.8131,17583,13,1,1458825826,1735108180,0
GSM,649,1,112,12821,0,17.2245,-18.7233,18484,13,1,1458825826,1735108178,0
GSM,649,1,112,13133,0,16.8118,-18.4578,28590,10,1,1458825826,1735108167,0
GSM,649,1,113,10203,0,17.0656,-22.5923,2229,38,1,1458825826,1726548409,0
GSM,649,1,112,16182,0,17.5213,-19.6525,6069,4,1,1445214535,1693746283,0
GSM,649,1,112,12351,0,18.058,-19.4964,6784,6,1,1458825826,1712637489,0
GSM,649,1,112,12822,0,17.3025,-18.8294,12805,11,1,1458825826,1735108180,0
GSM,649,1,113,11191,0,17.0902,-22.6073,1000,7,1,1458825826,1726548413,0
GSM,649,1,113,14033,0,17.0566,-22.587,4212,20,1,1458825827,1726548420,0
GSM,649,1,113,15822,0,17.1059,-22.6088,1000,3,1,1423751902,1706679535,0
GSM,649,1,113,11203,0,17.0887,-22.5829,1000,2,1,1458217337,1726548409,0
GSM,649,1,115,10603,0,17.0615,-22.5392,1000,8,1,1458825828,1703309825,0
GSM,649,1,115,11162,0,17.0774,-22.5191,1000,9,1,1458825828,1736577609,0
GSM,649,1,115,10301,0,17.0772,-22.5205,1000,13,1,1458825828,1736577626,0
GSM,649,1,115,15381,0,17.0557,-22.3741,10217,6,1,1458825828,1703309830,0
GSM,649,1,115,14173,0,17.0675,-22.5451,1076,16,1,1458825828,1703309820,0
GSM,649,1,102,15451,0,17.3224,-19.6771,6308,7,1,1458825819,1693745387,0
GSM,649,1,103,20752,0,16.913,-21.987,2617,5,1,1443794978,1720070567,0
GSM,649,1,107,12592,0,16.4205,-18.2244,13933,9,1,1458825823,1735108158,0
GSM,649,1,106,12211,0,20.3658,-17.9405,1719,3,1,1458825822,1690263528,0
GSM,649,1,106,12183,0,19.7176,-17.895,4637,5,1,1458825822,1690330512,0
GSM,649,1,107,12591,0,16.3406,-18.1628,7736,10,1,1458825823,1735108155,0
GSM,649,1,108,19173,0,15.9013,-17.4813,1000,4,1,1452432145,1725601453,0
GSM,649,1,108,13051,0,15.9766,-17.8842,2519,6,1,1458825823,1735108143,0
GSM,649,1,107,16572,0,16.5874,-18.3663,4590,6,1,1458825823,1725601402,0
GSM,649,1,107,13211,0,16.2942,-18.1196,7376,7,1,1458825823,1735108155,0
GSM,649,1,108,12762,0,16.0019,-17.9184,2378,6,1,1458825823,1725601434,0
GSM,649,1,107,20471,0,16.1412,-17.9927,1462,4,1,1458825823,1727065933,0
GSM,649,1,107,13113,0,16.2599,-18.0912,4410,7,1,1458825823,1727065935,0
GSM,649,1,108,20521,0,16.0036,-17.922,5089,6,1,1458825824,1727065931,0
GSM,649,1,112,11861,0,17.6853,-19.2163,21969,6,1,1458825825,1716612018,0
GSM,649,1,112,12101,0,17.16,-18.6102,6941,10,1,1451730728,1735108175,0
GSM,649,1,112,15990,0,17.6414,-19.2167,17845,12,1,1458825826,1735108200,0
GSM,649,1,113,11052,0,17.0751,-22.5861,1000,5,1,1458825826,1700804341,0
GSM,649,1,112,12353,0,18.0591,-19.4859,4799,5,1,1458825826,1692776898,0
GSM,649,1,112,13961,0,17.5742,-19.4721,11689,4,1,1458825826,1693742628,0
GSM,649,1,112,12113,0,17.6387,-19.2147,17486,13,1,1458825826,1735108199,0
GSM,649,1,112,12812,0,17.0625,-18.5186,16866,11,1,1451730728,1735108172,0
GSM,649,1,112,19621,0,18.0936,-19.5488,2390,5,1,1458825826,1735108206,0
GSM,649,1,112,15352,0,17.5966,-19.1976,13126,7,1,1458825826,1725601366,0
GSM,649,1,113,10651,0,17.079,-22.6189,1051,5,1,1458825826,1706679538,0
GSM,649,1,113,11913,0,17.0802,-22.5786,1000,4,1,1446307137,1706765617,0
GSM,649,1,115,15802,0,17.0772,-22.5213,1000,12,1,1458825828,1736577609,0
GSM,649,1,115,13831,0,17.0755,-22.5211,1728,10,1,1458825828,1736577684,0
GSM,649,1,115,14112,0,17.0757,-22.5238,1019,7,1,1458825828,1736577681,0
GSM,649,1,115,10043,0,17.0761,-22.5165,5299,21,1,1458825828,1736577609,0
GSM,649,1,103,15983,0,16.8898,-21.9695,2810,5,1,1433560507,1720070567,0
GSM,649,1,106,20451,0,19.7554,-17.9321,1196,2,1,1454984333,1691800648,0
GSM,649,1,106,12222,0,20.5318,-18.0069,6223,3,1,1458825822,1690262649,0
GSM,649,1,107,12791,0,16.135,-17.9723,6570,9,1,1458825823,1727065933,0
GSM,649,1,107,12070,0,16.5649,-18.3494,16264,10,1,1458825823,1735108161,0
GSM,649,1,106,16430,0,20.2052,-17.932,8747,2,1,1431447152,1690264443,0
GSM,649,1,107,13112,0,16.2677,-18.0946,3531,7,1,1458825823,1735108155,0
GSM,649,1,108,12512,0,16.0053,-17.9252,2207,9,1,1458825823,1735108146,0
GSM,649,1,108,12062,0,15.9075,-17.4828,1886,4,1,1458825823,1725601453,0
GSM,649,1,108,13722,0,15.8918,-17.3952,3350,16,1,1437400493,1726290212,0
GSM,649,1,107,20333,0,16.2477,-18.0777,1000,4,1,1458825823,1727065935,0
GSM,649,1,107,19122,0,16.394,-18.2015,4997,6,1,1458825823,1727065937,0
GSM,649,1,108,12772,0,15.9601,-17.888,2643,4,1,1458825823,1712032487,0
GSM,649,1,108,19722,0,15.9999,-17.9228,1000,5,1,1458825824,1735108146,0
GSM,649,1,108,19962,0,16.0176,-17.9315,1000,5,1,1458825824,1725601431,0
GSM,649,1,108,19972,0,15.8888,-17.4478,1000,3,1,1458825824,1693214625,0
